val_mse,mse,val_mae,mae
0.387088,0.421237,0.283053,0.287971
0.385988,0.420682,0.282344,0.287687
0.385978,0.420504,0.282325,0.287569
0.386082,0.420512,0.282403,0.28761
0.386114,0.420442,0.282363,0.287489
0.385202,0.419288,0.281689,0.286603
0.385145,0.419283,0.281639,0.286651
0.384395,0.418774,0.281192,0.286382
0.384369,0.418773,0.281168,0.286412
0.384251,0.41873,0.281128,0.28623
0.384054,0.418363,0.280768,0.285618
0.383999,0.418371,0.280683,0.285587
0.384122,0.418157,0.280616,0.285295
0.383928,0.417973,0.280354,0.285045
0.383779,0.417905,0.28024,0.285077
0.383413,0.417414,0.280017,0.284738
0.383525,0.417297,0.280013,0.284674
0.38354,0.417176,0.280056,0.284639
0.383383,0.417107,0.279947,0.284678
0.383306,0.417032,0.279887,0.284584
0.38341,0.416761,0.279989,0.28445
0.382371,0.415852,0.279002,0.283533
0.38236,0.415839,0.279003,0.283523
0.382498,0.415669,0.279008,0.283433
0.382343,0.41553,0.278947,0.283251
0.382459,0.415158,0.279073,0.283165
0.382465,0.415151,0.279051,0.28316
0.382528,0.41492,0.279139,0.283035
0.382542,0.414472,0.278989,0.282645
0.382573,0.414377,0.279004,0.282555
0.382418,0.414328,0.278922,0.282539
0.382119,0.41382,0.278688,0.282242
0.382119,0.413818,0.278687,0.282241
0.381866,0.413569,0.278599,0.282061
0.38164,0.413518,0.278486,0.28201
0.381646,0.413513,0.278494,0.281984
0.381559,0.413348,0.278456,0.281771
0.381251,0.413246,0.278312,0.281786
0.381114,0.413191,0.278171,0.28176
0.379283,0.412517,0.277137,0.281306
0.379094,0.412362,0.27706,0.281115
0.378952,0.412201,0.277034,0.280949
0.379048,0.412175,0.277074,0.280953
0.378996,0.412173,0.277043,0.28097
0.379017,0.412174,0.277068,0.280956
0.378964,0.411925,0.277049,0.280717
0.378751,0.411591,0.27674,0.280408
0.378482,0.41148,0.276618,0.280435
0.378437,0.411422,0.276616,0.280406
0.378405,0.411336,0.276689,0.280348
0.378386,0.411161,0.276764,0.280223
0.378497,0.411108,0.276858,0.280155
0.378462,0.411106,0.276821,0.280177
0.377437,0.410516,0.276111,0.279756
0.377359,0.410408,0.276109,0.279638
0.377317,0.410292,0.275988,0.279537
0.377194,0.410067,0.275959,0.279187
0.377239,0.410024,0.276003,0.279163
0.376664,0.409792,0.275296,0.278876
0.376487,0.40956,0.275204,0.278684
0.376366,0.409546,0.275129,0.278595
0.376366,0.409405,0.275166,0.278464
0.376358,0.409407,0.275255,0.278481
0.376324,0.409353,0.275282,0.278491
0.374713,0.408718,0.274378,0.278047
0.374678,0.408487,0.274125,0.277766
0.374685,0.408434,0.274143,0.277807
0.374457,0.408123,0.273739,0.277462
0.374412,0.408101,0.273738,0.27743
0.374016,0.407654,0.273223,0.277076
0.374137,0.407673,0.273236,0.277097
0.374059,0.407648,0.273147,0.277112
0.374056,0.407647,0.273143,0.277115
0.37409,0.407438,0.273247,0.276805
0.374173,0.407113,0.273168,0.276463
0.37414,0.407106,0.273171,0.276444
0.373942,0.406996,0.273005,0.276322
0.373826,0.406596,0.272762,0.275917
0.372763,0.406117,0.272012,0.275638
0.372689,0.406086,0.271938,0.275649
0.372856,0.405912,0.272244,0.275697
0.372893,0.405881,0.272337,0.275639
0.373019,0.405842,0.272389,0.275551
0.372981,0.405819,0.272361,0.2756
0.373173,0.405705,0.272693,0.275643
0.373188,0.405455,0.272795,0.275433
0.373149,0.40544,0.272752,0.275461
0.373217,0.405349,0.272771,0.275341
0.373155,0.405255,0.272679,0.275223
0.373034,0.40513,0.272606,0.27504
0.373079,0.405098,0.27273,0.275088
0.37306,0.404999,0.272704,0.275023
0.373085,0.404985,0.272713,0.275076
0.372393,0.404656,0.272194,0.274882
0.372296,0.404626,0.272193,0.274864
0.372147,0.404484,0.272203,0.274824
0.372164,0.40447,0.272248,0.274784
0.371548,0.403939,0.271675,0.274412
0.371521,0.403903,0.271668,0.274391
0.371222,0.403803,0.271352,0.274291
0.370846,0.403586,0.271033,0.274098
0.370736,0.403251,0.270803,0.273699
0.369277,0.402816,0.269847,0.273345
0.369603,0.40272,0.270001,0.273382
0.369576,0.402688,0.270002,0.273412
0.369459,0.402678,0.269922,0.273426
0.369414,0.402663,0.269908,0.273464
0.369393,0.402639,0.269958,0.273548
0.369425,0.402572,0.270016,0.27352
0.369664,0.402444,0.270311,0.273422
0.369784,0.402405,0.27038,0.273396
0.369862,0.402351,0.270361,0.273241
0.369979,0.402306,0.270424,0.273195
0.37009,0.40213,0.270356,0.273086
0.37025,0.402015,0.270401,0.273019
0.370252,0.402,0.270418,0.273008
0.370315,0.401988,0.2704,0.27295
0.370004,0.401783,0.270105,0.272807
0.369898,0.401686,0.27012,0.272663
0.369748,0.401568,0.269988,0.27252
0.369877,0.40139,0.27001,0.272327
0.369906,0.401321,0.27002,0.27212
0.369886,0.401319,0.26999,0.272127
0.369931,0.401251,0.269944,0.272052
0.36991,0.401244,0.270015,0.272003
0.369677,0.401033,0.269923,0.271843
0.369645,0.401012,0.269923,0.271829
0.369669,0.400922,0.269908,0.271782
0.369654,0.400904,0.269929,0.271721
0.369525,0.400858,0.269765,0.271744
0.36954,0.400856,0.269802,0.27173
0.369568,0.400832,0.269881,0.271676
0.369404,0.400693,0.269599,0.271584
0.369493,0.400614,0.269669,0.271545
0.369487,0.400613,0.269661,0.271546
0.369472,0.400601,0.269702,0.271524
0.369385,0.400604,0.269604,0.271507
0.369369,0.400577,0.269644,0.271508
0.369385,0.400245,0.269684,0.271444
0.369304,0.400191,0.26963,0.271437
0.369082,0.400116,0.269422,0.271324
0.369201,0.400036,0.269403,0.271281
0.369157,0.399997,0.269247,0.271261
0.369252,0.399947,0.269351,0.271194
0.369134,0.3999,0.269281,0.271118
0.369069,0.399897,0.269189,0.271147
0.369137,0.399795,0.2693,0.271228
0.369049,0.399584,0.269021,0.270979
0.369045,0.399584,0.269015,0.270981
0.368943,0.399556,0.268874,0.271013
0.368771,0.399412,0.268745,0.270873
0.369108,0.399353,0.268909,0.270799
0.369478,0.399172,0.269247,0.27071
0.369438,0.399103,0.269187,0.270681
0.369401,0.399107,0.269198,0.270685
0.369327,0.399058,0.269367,0.270703
0.369369,0.399031,0.269496,0.270703
0.36952,0.398947,0.269754,0.270592
0.369776,0.39883,0.270001,0.270568
0.36879,0.398471,0.269327,0.270284
0.368797,0.39846,0.269305,0.270282
0.368971,0.398402,0.269596,0.270315
0.368878,0.398318,0.269604,0.270208
0.36914,0.398258,0.269521,0.270106
0.36913,0.398234,0.269523,0.270065
0.368044,0.397889,0.268718,0.269752
0.3681,0.397825,0.268744,0.269677
0.367951,0.397632,0.268686,0.269545
0.368028,0.39745,0.268699,0.269468
0.368226,0.397418,0.26885,0.269487
0.367669,0.397243,0.268428,0.269379
0.367687,0.39721,0.268391,0.269351
0.367649,0.397184,0.26838,0.269345
0.367696,0.397184,0.268451,0.269321
0.367754,0.397149,0.268478,0.269396
0.367752,0.397103,0.268547,0.269319
0.367721,0.39705,0.268628,0.269274
0.367704,0.396868,0.26862,0.269154
0.367637,0.396766,0.268595,0.269068
0.36766,0.396749,0.268656,0.269093
0.367608,0.396628,0.268652,0.268964
0.367593,0.396626,0.268653,0.268928
0.367669,0.396597,0.268698,0.268892
0.367494,0.396567,0.268695,0.268847
0.367466,0.396561,0.268673,0.268852
0.367495,0.396551,0.268714,0.26884
0.367564,0.396408,0.268855,0.268678
0.366937,0.396182,0.268409,0.268443
0.366987,0.396174,0.268505,0.268439
0.367009,0.39618,0.268537,0.268432
0.367038,0.396063,0.268588,0.268333
0.367032,0.396043,0.268613,0.2683
0.366796,0.395886,0.268374,0.26824
0.366687,0.395842,0.268204,0.268278
0.366649,0.395792,0.268131,0.268314
0.366553,0.395753,0.268063,0.26827
0.36654,0.395751,0.268042,0.268274
0.366515,0.395443,0.267946,0.268035
0.366496,0.395435,0.26801,0.268077
0.366584,0.395339,0.26805,0.267992
0.366432,0.395183,0.267841,0.26782
0.36642,0.395179,0.267825,0.267826
0.366489,0.394851,0.268068,0.267664
0.366436,0.394781,0.268139,0.267574
0.366362,0.39459,0.268156,0.267376
0.366416,0.394454,0.268096,0.267257
0.366158,0.394261,0.267915,0.267088
0.366178,0.394256,0.267941,0.267081
0.36605,0.394238,0.267755,0.267091
0.366298,0.39418,0.267882,0.267089
0.365999,0.394017,0.267565,0.266803
0.365977,0.394,0.267545,0.266842
0.365756,0.393894,0.267387,0.266721
0.365501,0.393828,0.267168,0.266649
0.365546,0.393812,0.267266,0.266617
0.365483,0.393721,0.267297,0.266434
0.365619,0.393642,0.267523,0.266428
0.365732,0.393355,0.267549,0.266193
0.365572,0.393299,0.267387,0.266149
0.365626,0.393282,0.267441,0.266121
0.365683,0.393265,0.267477,0.266082
0.365608,0.393199,0.267404,0.265992
0.365603,0.39311,0.267404,0.265949
0.365905,0.393,0.267694,0.265866
0.365924,0.392934,0.267771,0.265766
