val_mse,mse,val_mae,mae
0.460857,0.425367,0.320083,0.293303
0.460565,0.424958,0.320114,0.292869
0.460493,0.424782,0.319999,0.292678
0.460642,0.424769,0.320192,0.292741
0.460787,0.42472,0.32046,0.292764
0.460208,0.424317,0.319591,0.292141
0.460079,0.424006,0.319525,0.291776
0.459812,0.423851,0.31921,0.291529
0.459145,0.423761,0.318889,0.291323
0.459299,0.423519,0.319,0.29118
0.459245,0.423517,0.319111,0.291271
0.458419,0.423189,0.318387,0.290926
0.458793,0.422995,0.318652,0.29079
0.458708,0.422379,0.318102,0.290112
0.458079,0.421616,0.318212,0.289211
0.457744,0.421464,0.317955,0.289036
0.45792,0.421236,0.318266,0.288855
0.457618,0.421084,0.317919,0.288725
0.457489,0.42094,0.317762,0.288606
0.457304,0.420898,0.317675,0.288514
0.457064,0.420342,0.317075,0.287966
0.456709,0.419621,0.316837,0.287222
0.45692,0.419361,0.316704,0.287041
0.456707,0.419225,0.316712,0.286824
0.456861,0.41916,0.317013,0.286833
0.457032,0.418954,0.316986,0.286605
0.456946,0.418898,0.316888,0.286628
0.457249,0.418866,0.317291,0.286733
0.456933,0.418772,0.317082,0.286739
0.4568,0.418671,0.316922,0.286676
0.456878,0.418664,0.316861,0.286629
0.456944,0.418106,0.31711,0.28636
0.459019,0.417385,0.318235,0.28567
0.459275,0.417265,0.318476,0.285674
0.459407,0.416963,0.318505,0.285271
0.459554,0.416974,0.318534,0.285206
0.458763,0.416557,0.317964,0.284656
0.458263,0.416323,0.317492,0.28443
0.458372,0.416169,0.317547,0.284359
0.458809,0.415882,0.317932,0.284176
0.459004,0.415893,0.318143,0.284243
0.459199,0.415749,0.318245,0.284203
0.459184,0.415623,0.31819,0.28406
0.458667,0.415574,0.317704,0.283805
0.458134,0.415158,0.317418,0.28347
0.458222,0.414946,0.317526,0.283479
0.457894,0.414684,0.317227,0.283114
0.458324,0.414638,0.317717,0.28322
0.458521,0.414298,0.317996,0.28271
0.458101,0.413695,0.317363,0.282174
0.458363,0.413681,0.317528,0.282129
0.457824,0.413293,0.316995,0.281902
0.457763,0.412585,0.316957,0.281437
0.457425,0.412574,0.316553,0.281345
0.457681,0.412491,0.316786,0.281335
0.45799,0.412386,0.317137,0.281228
0.457945,0.412385,0.317089,0.281216
0.457801,0.412217,0.316899,0.281048
0.457538,0.412117,0.316645,0.280935
0.458009,0.412102,0.317184,0.281055
0.455764,0.412028,0.314489,0.280834
0.455906,0.41202,0.314634,0.280937
0.455506,0.411779,0.314047,0.28061
0.455842,0.411459,0.314628,0.280521
0.455907,0.411364,0.314773,0.28053
0.45545,0.411109,0.314488,0.280209
0.455236,0.410868,0.314348,0.280064
0.455115,0.410553,0.314577,0.279779
0.455331,0.410515,0.314795,0.2798
0.455313,0.4101,0.314627,0.279661
0.454854,0.409956,0.314122,0.279498
0.454611,0.409776,0.313858,0.279196
0.454783,0.409432,0.313897,0.279083
0.45464,0.409308,0.313649,0.279009
0.454986,0.409169,0.313931,0.27885
0.455183,0.409074,0.313931,0.278656
0.455207,0.408622,0.313957,0.278384
0.45503,0.40859,0.313837,0.278324
0.45502,0.408347,0.313476,0.278101
0.455129,0.408208,0.313505,0.277936
0.4552,0.407953,0.313462,0.277565
0.455428,0.40795,0.3137,0.277632
0.455345,0.407731,0.313666,0.277402
0.454913,0.407535,0.313059,0.276983
0.454599,0.407534,0.312753,0.276891
0.45442,0.407397,0.312555,0.276795
0.457889,0.406864,0.316119,0.27666
0.458224,0.406824,0.316417,0.276718
0.458318,0.406815,0.316506,0.276722
0.458244,0.406727,0.31636,0.27663
0.458291,0.406427,0.316282,0.276348
0.457929,0.406021,0.315924,0.275863
0.457889,0.405715,0.315721,0.275523
0.458038,0.405528,0.31589,0.275421
0.457941,0.405492,0.315774,0.275407
0.45807,0.405171,0.315747,0.275082
0.458289,0.405162,0.315977,0.275132
0.457953,0.405136,0.315604,0.275001
0.458142,0.404957,0.315995,0.274963
0.457988,0.404955,0.315843,0.274922
0.458084,0.404886,0.316202,0.27495
0.458324,0.404886,0.316436,0.275015
0.458511,0.404558,0.316736,0.274919
0.45818,0.404101,0.316527,0.274428
0.458544,0.403809,0.316525,0.274197
0.458421,0.403815,0.316391,0.274185
0.458236,0.403778,0.316183,0.274132
0.458195,0.403681,0.316044,0.274044
0.458175,0.403683,0.316047,0.27404
0.45759,0.403661,0.315467,0.273869
0.457389,0.403626,0.315188,0.273715
0.457006,0.403471,0.315087,0.273499
0.456754,0.403383,0.31483,0.273441
0.45694,0.403393,0.314992,0.273484
0.456822,0.403394,0.314875,0.273454
0.456646,0.40326,0.315333,0.273536
0.456874,0.403052,0.315514,0.273294
0.457536,0.403017,0.316038,0.273113
0.457612,0.402922,0.316179,0.273095
0.457695,0.402862,0.316034,0.27305
0.458124,0.402734,0.316465,0.273102
0.458012,0.402707,0.316509,0.273051
0.458205,0.402362,0.317139,0.272945
0.457781,0.402237,0.317007,0.272711
0.458018,0.402024,0.317224,0.272718
0.458628,0.401901,0.318017,0.272552
0.458694,0.401581,0.317864,0.272312
0.458573,0.40145,0.317544,0.27223
0.458881,0.401438,0.317969,0.272388
0.459194,0.401423,0.318242,0.272372
0.459061,0.40135,0.318095,0.272433
0.457902,0.401184,0.316801,0.272237
0.458291,0.401068,0.31692,0.272125
0.456977,0.400716,0.315183,0.271626
0.456487,0.400583,0.314336,0.271302
0.456129,0.400496,0.313853,0.271203
0.456155,0.400479,0.313873,0.271217
0.455686,0.40044,0.313445,0.271115
0.455409,0.400277,0.313311,0.271012
0.455522,0.40026,0.313363,0.270968
0.455109,0.400097,0.313091,0.270832
0.455279,0.400094,0.313274,0.270869
0.455019,0.399965,0.312855,0.270686
0.455382,0.399901,0.313374,0.270658
