Valeur fonciere,Code departement,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Code commune,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
100000.0,49,2.0,2.0,76.0,4.0,99.0,0.0,202.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000.0,60,0.0,1.0,84.0,3.0,668.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55000.0,71,1.0,2.0,71.0,4.0,176.0,0.0,114.0,73.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,42,5.0,2.0,60.0,2.0,218.0,0.0,10.0,0.0,27.0,62.41,28.0,0.0,29.0,0.0,7.0,0.0
100000.0,50,0.0,1.0,60.0,3.0,419.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128000.0,47,0.0,1.0,101.0,4.0,159.0,5322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000.0,82,3.0,2.0,56.0,3.0,190.0,0.0,1046.0,0.0,1047.0,0.0,11.0,56.08,0.0,0.0,0.0,0.0
18000.0,58,0.0,1.0,60.0,3.0,58.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75260.0,50,0.0,1.0,93.0,6.0,197.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168000.0,53,0.0,1.0,100.0,5.0,56.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120000.0,62,0.0,1.0,78.0,4.0,37.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316000.0,49,0.0,1.0,78.0,3.0,361.0,1829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126000.0,59,2.0,2.0,98.0,3.0,163.0,0.0,6193.0,97.04,6476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
