Valeur fonciere,Nombre de lots,Type de voie,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Code commune,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
145000.0,1.0,12.0,2.0,20.0,1.0,0.0,1.0,20.3,0,0,0,0.0
128100.0,2.0,15.0,2.0,73.0,3.0,0.0,8.0,0,73.19,0,0,0.0
601300.0,2.0,15.0,2.0,132.0,6.0,0.0,3.0,0,153.51,0,0,0.0
440000.0,1.0,15.0,2.0,85.0,3.0,0.0,1.0,0,0,0,0,0.0
279700.0,2.0,5.0,2.0,61.0,3.0,0.0,1.0,63.14,0,0,0,0.0
178600.0,2.0,15.0,2.0,80.0,5.0,0.0,8.0,0,0,0,0,0.0
850000.0,1.0,15.0,2.0,183.0,7.0,0.0,1.0,0,0,0,0,0.0
257000.0,1.0,10.0,2.0,57.0,1.0,0.0,1.0,53.42,0,0,0,0.0
390054.0,2.0,2.0,2.0,96.0,4.0,0.0,4.0,0,95.12,0,0,0.0
430000.0,1.0,15.0,2.0,72.0,3.0,0.0,1.0,0,0,0,0,0.0
144000.0,2.0,15.0,2.0,30.0,1.0,0.0,4.0,30.72,0,0,0,0.0
360000.0,1.0,15.0,2.0,64.0,3.0,0.0,1.0,0,0,0,0,0.0
245000.0,2.0,3.0,2.0,57.0,2.0,0.0,0.0,0,0,0,0,0.0
109500.0,1.0,8.0,2.0,25.0,1.0,0.0,4.0,25.26,0,0,0,0.0
122000.0,2.0,2.0,2.0,39.0,2.0,0.0,8.0,0,0,0,0,0.0
195000.0,2.0,15.0,2.0,76.0,4.0,0.0,4.0,0,77.66,0,0,0.0
78000.0,1.0,15.0,2.0,26.0,1.0,0.0,0.0,14.81,0,0,0,0.0
117000.0,1.0,15.0,2.0,98.0,3.0,0.0,1.0,92.8,0,0,0,0.0
738000.0,2.0,15.0,2.0,134.0,6.0,0.0,3.0,0,133.7,0,0,0.0
601000.0,1.0,15.0,2.0,170.0,5.0,0.0,1.0,110.02,0,0,0,0.0
376000.0,1.0,15.0,2.0,54.0,2.0,0.0,0.0,54.6,0,0,0,0.0
190000.0,2.0,15.0,2.0,50.0,2.0,0.0,8.0,0,49.89,0,0,0.0
165300.0,1.0,15.0,2.0,32.0,1.0,0.0,3.0,32.39,0,0,0,0.0
458000.0,2.0,15.0,2.0,102.0,5.0,0.0,4.0,109.06,0,0,0,0.0
734600.0,2.0,3.0,2.0,119.0,5.0,0.0,0.0,0,116.1,0,0,0.0
128000.0,1.0,2.0,2.0,77.0,3.0,0.0,4.0,69.41,0,0,0,0.0
286000.0,2.0,15.0,2.0,90.0,5.0,0.0,8.0,0,91.31,0,0,0.0
380000.0,1.0,15.0,2.0,67.0,2.0,0.0,1.0,62.69,0,0,0,0.0
425325.0,1.0,15.0,2.0,100.0,4.0,0.0,4.0,100.11,0,0,0,0.0
139500.0,2.0,15.0,2.0,50.0,2.0,0.0,8.0,0,0,0,0,0.0
130538.0,1.0,15.0,2.0,86.0,4.0,0.0,8.0,85.03,0,0,0,0.0
177200.0,1.0,15.0,2.0,57.0,2.0,0.0,8.0,0,0,0,0,0.0
320300.0,2.0,3.0,2.0,68.0,3.0,0.0,3.0,0,66.58,0,0,0.0
256000.0,2.0,15.0,2.0,70.0,3.0,0.0,4.0,0,69.92,0,0,0.0
338000.0,3.0,15.0,2.0,78.0,3.0,0.0,0.0,80.03,0,80.03,0,0.0
189020.0,2.0,15.0,2.0,70.0,4.0,0.0,8.0,70.04,0,0,0,0.0
370000.0,1.0,15.0,2.0,20.0,1.0,0.0,0.0,107.87,0,0,0,0.0
370000.0,1.0,15.0,2.0,18.0,1.0,0.0,0.0,107.87,0,0,0,0.0
370000.0,1.0,15.0,2.0,12.0,1.0,0.0,0.0,107.87,0,0,0,0.0
370000.0,1.0,15.0,2.0,16.0,1.0,0.0,0.0,107.87,0,0,0,0.0
370000.0,1.0,15.0,2.0,30.0,1.0,0.0,0.0,107.87,0,0,0,0.0
370000.0,2.0,15.0,2.0,30.0,1.0,0.0,0.0,0,107.87,0,0,0.0
370000.0,1.0,15.0,2.0,14.0,1.0,0.0,0.0,107.87,0,0,0,0.0
370000.0,1.0,15.0,2.0,15.0,1.0,0.0,0.0,107.87,0,0,0,0.0
440000.0,1.0,15.0,2.0,98.0,4.0,0.0,3.0,80.33,0,0,0,0.0
391400.0,1.0,10.0,2.0,43.0,2.0,0.0,1.0,0,0,0,0,0.0
195350.0,2.0,15.0,2.0,61.0,3.0,0.0,8.0,0,59.38,0,0,0.0
185000.0,2.0,10.0,2.0,118.0,3.0,0.0,0.0,23.2,0,0,0,0.0
150000.0,1.0,10.0,2.0,116.0,4.0,0.0,1.0,0,0,0,0,0.0
111300.0,2.0,7.0,2.0,45.0,1.0,0.0,8.0,0,43.66,0,0,0.0
10000.0,1.0,15.0,2.0,71.0,2.0,0.0,0.0,8.86,0,0,0,0.0
110000.0,1.0,15.0,2.0,18.0,1.0,0.0,3.0,18.17,0,0,0,0.0
142100.0,2.0,15.0,2.0,75.0,3.0,0.0,8.0,0,0,0,0,0.0
200000.0,1.0,15.0,2.0,34.0,2.0,0.0,1.0,35.51,0,0,0,0.0
262880.0,2.0,2.0,2.0,68.0,3.0,0.0,8.0,4.35,67.88,0,0,0.0
470000.0,1.0,15.0,2.0,105.0,5.0,0.0,1.0,0,0,0,0,0.0
205000.0,2.0,15.0,2.0,53.0,2.0,0.0,8.0,0,53.15,0,0,0.0
