Valeur fonciere,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
102000.0,2.0,2.0,66.0,3.0,0.0,118.0,0,88.0,65.51,0.0,0,0.0,0,0.0,0.0
97500.0,2.0,2.0,35.0,2.0,0.0,57.0,31.71,70.0,0,0.0,0,0.0,0,0.0,0.0
101600.0,1.0,2.0,25.0,1.0,0.0,7.0,17.15,0.0,0,0.0,0,0.0,0,0.0,0.0
226000.0,1.0,2.0,42.0,2.0,0.0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
148260.0,2.0,2.0,66.0,3.0,0.0,18.0,66.53,3.0,0,0.0,0,0.0,0,0.0,0.0
160000.0,1.0,2.0,63.0,3.0,0.0,118.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
370000.0,5.0,2.0,82.0,3.0,0.0,1.0,0,12.0,80.43,14.0,0,17.0,0,2.0,0.0
115900.0,1.0,2.0,41.0,2.0,0.0,80.0,40.45,0.0,0,0.0,0,0.0,0,0.0,0.0
76000.0,1.0,2.0,32.0,1.0,0.0,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
77000.0,1.0,2.0,28.0,1.0,0.0,65.0,24.03,0.0,0,0.0,0,0.0,0,0.0,0.0
240050.0,1.0,2.0,71.0,3.0,0.0,81.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
118000.0,2.0,2.0,71.0,4.0,0.0,18.0,0,24.0,0,0.0,0,0.0,0,0.0,0.0
85000.0,1.0,2.0,49.0,2.0,0.0,3.0,49.51,0.0,0,0.0,0,0.0,0,0.0,0.0
101850.0,1.0,2.0,39.0,2.0,0.0,121.0,40.7,0.0,0,0.0,0,0.0,0,0.0,0.0
337700.0,0.0,1.0,70.0,4.0,383.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
165000.0,1.0,2.0,87.0,4.0,0.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
142000.0,2.0,2.0,51.0,3.0,0.0,11.0,51.76,26.0,0,0.0,0,0.0,0,0.0,0.0
336700.0,0.0,1.0,63.0,4.0,217.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
420000.0,0.0,1.0,100.0,4.0,248.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
125000.0,1.0,2.0,39.0,2.0,0.0,19.0,39.04,0.0,0,0.0,0,0.0,0,0.0,0.0
193900.0,2.0,2.0,69.0,3.0,0.0,101.0,0,119.0,0,0.0,0,0.0,0,0.0,0.0
148000.0,1.0,2.0,60.0,3.0,0.0,17.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
70000.0,1.0,2.0,26.0,1.0,0.0,107.0,26.18,0.0,0,0.0,0,0.0,0,0.0,0.0
125000.0,1.0,2.0,55.0,3.0,0.0,17.0,54.1,0.0,0,0.0,0,0.0,0,0.0,0.0
216344.3,1.0,2.0,93.0,4.0,0.0,101.0,91.05,0.0,0,0.0,0,0.0,0,0.0,0.0
150000.0,1.0,2.0,24.0,1.0,0.0,4.0,26.32,0.0,0,0.0,0,0.0,0,0.0,0.0
105000.0,2.0,2.0,21.0,1.0,0.0,348.0,0,398.0,0,0.0,0,0.0,0,0.0,0.0
575600.0,0.0,1.0,122.0,5.0,363.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
254400.0,2.0,2.0,82.0,4.0,0.0,14.0,82.0,34.0,0,0.0,0,0.0,0,0.0,0.0
110000.0,1.0,2.0,47.0,2.0,0.0,65.0,47.47,0.0,0,0.0,0,0.0,0,0.0,0.0
88000.0,1.0,2.0,31.0,2.0,0.0,56.0,32.31,0.0,0,0.0,0,0.0,0,0.0,0.0
117000.0,1.0,2.0,43.0,2.0,0.0,39.0,43.48,0.0,0,0.0,0,0.0,0,0.0,0.0
158000.0,1.0,2.0,68.0,3.0,0.0,93.0,68.41,0.0,0,0.0,0,0.0,0,0.0,0.0
110000.0,1.0,2.0,41.0,3.0,0.0,139.0,41.82,0.0,0,0.0,0,0.0,0,0.0,0.0
232550.0,1.0,2.0,34.0,1.0,0.0,6.0,40.63,0.0,0,0.0,0,0.0,0,0.0,0.0
139000.0,2.0,2.0,63.0,3.0,0.0,109.0,53.65,129.0,0,0.0,0,0.0,0,0.0,0.0
108000.0,1.0,2.0,55.0,3.0,0.0,311.0,54.39,0.0,0,0.0,0,0.0,0,0.0,0.0
161000.0,1.0,2.0,86.0,2.0,0.0,66.0,86.29,0.0,0,0.0,0,0.0,0,0.0,0.0
335000.0,0.0,1.0,87.0,5.0,426.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
110000.0,1.0,2.0,62.0,3.0,0.0,83.0,58.97,0.0,0,0.0,0,0.0,0,0.0,0.0
205225.0,1.0,2.0,52.0,2.0,0.0,164.0,50.63,0.0,0,0.0,0,0.0,0,0.0,0.0
125000.0,2.0,2.0,59.0,3.0,0.0,2002.0,0,2019.0,57.9,0.0,0,0.0,0,0.0,0.0
75000.0,1.0,2.0,26.0,1.0,0.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
75000.0,1.0,2.0,23.0,2.0,0.0,11.0,22.65,0.0,0,0.0,0,0.0,0,0.0,0.0
110000.0,1.0,2.0,25.0,1.0,0.0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
138000.0,1.0,2.0,53.0,2.0,0.0,1171.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
120500.0,1.0,2.0,50.0,2.0,0.0,8.0,50.81,0.0,0,0.0,0,0.0,0,0.0,0.0
59000.0,1.0,2.0,16.0,1.0,0.0,38.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
76592.0,1.0,2.0,20.0,1.0,0.0,8.0,20.26,0.0,0,0.0,0,0.0,0,0.0,0.0
188400.0,1.0,2.0,57.0,3.0,0.0,227.0,57.66,0.0,0,0.0,0,0.0,0,0.0,0.0
312500.0,0.0,1.0,110.0,5.0,759.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
118050.0,2.0,2.0,46.0,2.0,0.0,108.0,0,30.0,46.13,0.0,0,0.0,0,0.0,0.0
91000.0,1.0,2.0,46.0,2.0,0.0,402.0,46.63,0.0,0,0.0,0,0.0,0,0.0,0.0
78000.0,1.0,2.0,36.0,1.0,0.0,23.0,36.91,0.0,0,0.0,0,0.0,0,0.0,0.0
99000.0,1.0,2.0,30.0,1.0,0.0,17.0,30.44,0.0,0,0.0,0,0.0,0,0.0,0.0
320000.0,0.0,1.0,101.0,5.0,439.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
138710.0,1.0,2.0,54.0,3.0,0.0,32.0,56.71,0.0,0,0.0,0,0.0,0,0.0,0.0
170000.0,2.0,2.0,55.0,3.0,0.0,409.0,0,44.0,55.85,0.0,0,0.0,0,0.0,0.0
143400.0,1.0,2.0,48.0,1.0,0.0,139.0,37.91,0.0,0,0.0,0,0.0,0,0.0,0.0
230000.0,1.0,2.0,63.0,3.0,0.0,67.0,63.01,0.0,0,0.0,0,0.0,0,0.0,0.0
165000.0,1.0,2.0,35.0,2.0,0.0,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
85000.0,1.0,2.0,28.0,1.0,0.0,10.0,26.71,0.0,0,0.0,0,0.0,0,0.0,0.0
140000.0,2.0,2.0,55.0,3.0,0.0,13.0,0,46.0,54.79,0.0,0,0.0,0,0.0,0.0
90000.0,2.0,2.0,18.0,1.0,0.0,11.0,0,17.0,0,0.0,0,0.0,0,0.0,0.0
90000.0,2.0,2.0,18.0,1.0,0.0,11.0,0,17.0,0,0.0,0,0.0,0,0.0,0.0
290810.0,0.0,1.0,60.0,4.0,268.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
210000.0,2.0,2.0,76.0,4.0,0.0,31.0,0,43.0,0,0.0,0,0.0,0,0.0,0.0
210000.0,1.0,2.0,41.0,2.0,0.0,6.0,45.0,0.0,0,0.0,0,0.0,0,0.0,0.0
124000.0,1.0,2.0,48.0,2.0,0.0,2.0,47.22,0.0,0,0.0,0,0.0,0,0.0,0.0
189950.0,1.0,2.0,65.0,2.0,0.0,23.0,65.64,0.0,0,0.0,0,0.0,0,0.0,0.0
147498.0,1.0,2.0,68.0,3.0,0.0,47.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
180160.0,2.0,2.0,51.0,3.0,0.0,217.0,0,92.0,52.54,0.0,0,0.0,0,0.0,0.0
158600.0,1.0,2.0,50.0,2.0,0.0,33.0,49.56,0.0,0,0.0,0,0.0,0,0.0,0.0
110000.0,2.0,2.0,77.0,4.0,0.0,10418.0,0,10440.0,79.5,0.0,0,0.0,0,0.0,0.0
68200.0,1.0,2.0,37.0,2.0,0.0,18.0,37.43,0.0,0,0.0,0,0.0,0,0.0,0.0
